gameId;strategy;wins;losses
67;CallingRulesWithRandomPlay;597;715
67;CallingRulesWithUctMonteCarloStrategy;715;597
68;CallingRulesWithRandomPlay;597;715
68;CallingRulesWithUctMonteCarloStrategy;715;597
69;CallingRulesWithRandomPlay;597;715
69;CallingRulesWithUctMonteCarloStrategy;715;597
70;CallingRulesWithRandomPlay;610;734
70;CallingRulesWithUctMonteCarloStrategy;734;610
71;CallingRulesWithRandomPlay;610;734
71;CallingRulesWithUctMonteCarloStrategy;734;610
72;CallingRulesWithRandomPlay;610;734
72;CallingRulesWithUctMonteCarloStrategy;734;610
73;CallingRulesWithRandomPlay;610;734
73;CallingRulesWithUctMonteCarloStrategy;734;610
74;CallingRulesWithRandomPlay;610;734
74;CallingRulesWithUctMonteCarloStrategy;734;610
75;CallingRulesWithRandomPlay;610;734
75;CallingRulesWithUctMonteCarloStrategy;734;610
76;CallingRulesWithRandomPlay;626;750
76;CallingRulesWithUctMonteCarloStrategy;750;626
77;CallingRulesWithRandomPlay;642;766
77;CallingRulesWithUctMonteCarloStrategy;766;642
78;CallingRulesWithRandomPlay;658;782
78;CallingRulesWithUctMonteCarloStrategy;782;658
79;CallingRulesWithRandomPlay;674;798
79;CallingRulesWithUctMonteCarloStrategy;798;674
80;CallingRulesWithRandomPlay;674;798
80;CallingRulesWithUctMonteCarloStrategy;798;674
81;CallingRulesWithRandomPlay;674;798
81;CallingRulesWithUctMonteCarloStrategy;798;674
82;CallingRulesWithRandomPlay;688;816
82;CallingRulesWithUctMonteCarloStrategy;816;688
83;CallingRulesWithRandomPlay;705;831
83;CallingRulesWithUctMonteCarloStrategy;831;705
84;CallingRulesWithRandomPlay;717;851
84;CallingRulesWithUctMonteCarloStrategy;851;717
85;CallingRulesWithRandomPlay;717;851
85;CallingRulesWithUctMonteCarloStrategy;851;717
86;CallingRulesWithRandomPlay;717;851
86;CallingRulesWithUctMonteCarloStrategy;851;717
87;CallingRulesWithRandomPlay;717;851
87;CallingRulesWithUctMonteCarloStrategy;851;717
88;CallingRulesWithRandomPlay;729;871
88;CallingRulesWithUctMonteCarloStrategy;871;729
89;CallingRulesWithRandomPlay;729;871
89;CallingRulesWithUctMonteCarloStrategy;871;729
90;CallingRulesWithRandomPlay;745;887
90;CallingRulesWithUctMonteCarloStrategy;887;745
91;CallingRulesWithRandomPlay;759;905
91;CallingRulesWithUctMonteCarloStrategy;905;759
92;CallingRulesWithRandomPlay;775;921
92;CallingRulesWithUctMonteCarloStrategy;921;775
93;CallingRulesWithRandomPlay;775;921
93;CallingRulesWithUctMonteCarloStrategy;921;775
94;CallingRulesWithRandomPlay;775;921
94;CallingRulesWithUctMonteCarloStrategy;921;775
95;CallingRulesWithRandomPlay;789;939
95;CallingRulesWithUctMonteCarloStrategy;939;789
96;CallingRulesWithRandomPlay;805;955
96;CallingRulesWithUctMonteCarloStrategy;955;805
97;CallingRulesWithRandomPlay;821;971
97;CallingRulesWithUctMonteCarloStrategy;971;821
98;CallingRulesWithRandomPlay;837;987
98;CallingRulesWithUctMonteCarloStrategy;987;837
99;CallingRulesWithRandomPlay;837;987
99;CallingRulesWithUctMonteCarloStrategy;987;837
100;CallingRulesWithRandomPlay;837;987
100;CallingRulesWithUctMonteCarloStrategy;987;837
101;CallingRulesWithRandomPlay;853;1003
101;CallingRulesWithUctMonteCarloStrategy;1003;853
102;CallingRulesWithRandomPlay;853;1003
102;CallingRulesWithUctMonteCarloStrategy;1003;853
103;CallingRulesWithRandomPlay;866;1022
103;CallingRulesWithUctMonteCarloStrategy;1022;866
104;CallingRulesWithRandomPlay;879;1041
104;CallingRulesWithUctMonteCarloStrategy;1041;879
105;CallingRulesWithRandomPlay;894;1058
105;CallingRulesWithUctMonteCarloStrategy;1058;894
106;CallingRulesWithRandomPlay;909;1075
106;CallingRulesWithUctMonteCarloStrategy;1075;909
107;CallingRulesWithRandomPlay;909;1075
107;CallingRulesWithUctMonteCarloStrategy;1075;909
108;CallingRulesWithRandomPlay;925;1091
108;CallingRulesWithUctMonteCarloStrategy;1091;925
109;CallingRulesWithRandomPlay;941;1107
109;CallingRulesWithUctMonteCarloStrategy;1107;941
110;CallingRulesWithRandomPlay;957;1123
110;CallingRulesWithUctMonteCarloStrategy;1123;957
111;CallingRulesWithRandomPlay;957;1123
111;CallingRulesWithUctMonteCarloStrategy;1123;957
112;CallingRulesWithRandomPlay;957;1123
112;CallingRulesWithUctMonteCarloStrategy;1123;957
113;CallingRulesWithRandomPlay;972;1140
113;CallingRulesWithUctMonteCarloStrategy;1140;972
114;CallingRulesWithRandomPlay;972;1140
114;CallingRulesWithUctMonteCarloStrategy;1140;972
115;CallingRulesWithRandomPlay;988;1156
115;CallingRulesWithUctMonteCarloStrategy;1156;988
116;CallingRulesWithRandomPlay;988;1156
116;CallingRulesWithUctMonteCarloStrategy;1156;988
117;CallingRulesWithRandomPlay;1004;1172
117;CallingRulesWithUctMonteCarloStrategy;1172;1004
118;CallingRulesWithRandomPlay;1020;1188
118;CallingRulesWithUctMonteCarloStrategy;1188;1020
119;CallingRulesWithRandomPlay;1020;1188
119;CallingRulesWithUctMonteCarloStrategy;1188;1020
120;CallingRulesWithRandomPlay;1020;1188
120;CallingRulesWithUctMonteCarloStrategy;1188;1020
121;CallingRulesWithRandomPlay;1020;1188
121;CallingRulesWithUctMonteCarloStrategy;1188;1020
122;CallingRulesWithRandomPlay;1020;1188
122;CallingRulesWithUctMonteCarloStrategy;1188;1020
123;CallingRulesWithRandomPlay;1020;1188
123;CallingRulesWithUctMonteCarloStrategy;1188;1020
124;CallingRulesWithRandomPlay;1020;1188
124;CallingRulesWithUctMonteCarloStrategy;1188;1020
125;CallingRulesWithRandomPlay;1033;1207
125;CallingRulesWithUctMonteCarloStrategy;1207;1033
126;CallingRulesWithRandomPlay;1050;1222
126;CallingRulesWithUctMonteCarloStrategy;1222;1050
127;CallingRulesWithRandomPlay;1050;1222
127;CallingRulesWithUctMonteCarloStrategy;1222;1050
128;CallingRulesWithRandomPlay;1050;1222
128;CallingRulesWithUctMonteCarloStrategy;1222;1050
129;CallingRulesWithRandomPlay;1050;1222
129;CallingRulesWithUctMonteCarloStrategy;1222;1050
130;CallingRulesWithRandomPlay;1050;1222
130;CallingRulesWithUctMonteCarloStrategy;1222;1050
131;CallingRulesWithRandomPlay;1066;1238
131;CallingRulesWithUctMonteCarloStrategy;1238;1066
132;CallingRulesWithRandomPlay;1080;1256
132;CallingRulesWithUctMonteCarloStrategy;1256;1080
133;CallingRulesWithRandomPlay;1096;1272
133;CallingRulesWithUctMonteCarloStrategy;1272;1096
134;CallingRulesWithRandomPlay;1096;1272
134;CallingRulesWithUctMonteCarloStrategy;1272;1096
135;CallingRulesWithRandomPlay;1096;1272
135;CallingRulesWithUctMonteCarloStrategy;1272;1096
136;CallingRulesWithRandomPlay;1108;1292
